32 1000
19 28 1080726
26 30 842618
1 8 999670
7 10 1837788
7 16 498455
15 20 1058846
18 19 1011985
4 14 1569261
7 16 943581
5 11 1307214
9 12 965943
24 26 1750363
8 10 984350
22 26 1517863
19 26 1155481
26 28 117910
13 21 174876
27 32 38613
21 23 1661987
7 11 720075
25 32 1161832
11 16 1456553
7 15 1763422
21 27 527242
14 17 1738974
3 5 15702
4 11 1554682
7 14 1326322
7 12 1614040
3 10 250039
12 18 1522053
1 11 510807
21 23 58919
17 27 1166059
25 30 1670015
21 27 69239
21 28 1422579
15 24 742017
6 8 1596815
1 4 930553
4 11 50444
25 32 1922431
5 10 296876
6 7 158128
21 31 1024051
17 24 50123
18 23 1354256
10 20 1111325
20 23 1359942
15 18 1762093
27 31 1037853
1 4 349054
27 32 1152247
4 11 1210854
6 10 1052117
20 30 415009
20 27 1315233
12 22 1307469
27 32 1718040
18 21 160985
15 18 886341
2 5 1416162
7 9 261253
22 26 1480534
11 17 240063
26 29 209855
4 14 1459148
22 26 1410520
13 17 805988
9 19 1242366
11 17 1650207
23 29 79955
15 23 454040
19 25 1069339
12 22 83979
15 25 522011
18 19 433556
10 19 1172872
2 6 1851281
13 20 1828724
3 4 867295
25 32 4846
26 30 1590431
6 7 776294
20 25 773291
21 22 633536
1 8 772039
7 8 504032
23 24 1136984
21 27 388934
19 26 420867
3 9 119124
3 9 899865
25 32 1024345
8 13 1973096
19 22 1986180
27 30 1273454
11 16 1294063
18 22 1458526
6 7 572833
11 19 1879347
17 26 1028275
18 28 99573
4 13 1547279
17 19 440733
17 26 863912
17 25 1338829
7 9 299037
24 32 917408
17 18 1045223
25 29 511205
23 32 182649
10 17 64400
12 20 1746888
5 10 6407
11 12 1616247
23 30 1209944
14 23 1559536
18 26 1169055
4 8 1175484
18 21 1967757
25 27 1966740
27 32 1291557
1 10 842072
24 25 1642629
25 30 1666324
19 22 899337
9 17 615120
3 8 107736
19 25 835710
7 9 1371875
7 8 1595578
6 7 535091
24 25 289989
8 18 407550
3 12 1328505
26 32 1916767
11 20 1511163
19 29 410730
21 28 1532877
5 14 1922825
24 25 91780
18 22 222390
25 27 379054
2 7 308660
8 14 17612
26 32 1122158
25 32 832241
18 25 707395
24 28 1916675
17 23 1635564
16 21 1831819
18 19 472179
21 31 848201
26 27 1801955
3 7 976070
3 6 36869
18 20 1883690
2 11 1131651
12 19 1888488
11 14 989911
6 15 1807794
4 10 1937715
10 13 1914764
21 23 28931
19 22 687764
5 9 1219768
5 6 1541708
4 5 1164748
19 25 499618
18 27 1079192
4 5 826297
1 4 1832712
1 7 320826
26 30 669693
27 28 1187972
9 11 1893276
26 30 1907762
19 24 63669
8 10 1068392
15 24 838606
2 12 1009873
14 24 1414012
11 21 523202
16 26 1185642
25 32 1203288
14 17 1552207
12 14 269270
11 20 1238166
12 14 1590545
26 32 1214896
11 19 1101129
24 27 1057038
16 23 1020336
23 26 905787
12 13 742321
2 8 1217702
23 24 1551696
26 31 1286012
16 25 1585396
10 18 949468
27 29 457417
15 16 935542
2 9 216553
16 21 621275
1 11 819402
11 21 1998904
27 32 53057
21 29 889622
12 16 572269
6 14 169388
19 26 519586
25 28 632734
11 14 1922845
14 23 913119
22 31 789198
6 9 754369
6 9 360840
7 8 1877879
19 24 543652
27 32 1948703
2 6 1307928
9 12 1722456
17 24 249323
16 18 1908866
2 12 1606871
12 14 85658
23 27 562929
27 32 590380
26 29 1454022
6 9 739250
5 8 1395532
23 29 1880283
19 22 1129046
23 32 1358373
22 31 1189539
16 19 1441945
17 19 114494
25 27 1260242
6 7 1768812
26 29 212472
9 14 760609
27 30 1932808
26 32 361805
14 22 1970442
5 11 1671838
21 23 255191
14 22 474868
15 22 691710
5 14 783595
2 11 1294174
5 7 172149
15 17 725448
15 16 676525
19 25 274704
19 27 1428851
15 20 1745836
18 28 1311316
24 30 688221
7 15 466930
17 25 101466
8 18 331077
10 16 551294
20 21 642401
2 10 1733443
6 11 1182793
25 32 179988
22 28 166973
12 17 1258242
22 30 714037
1 5 303168
2 9 238107
7 17 1279462
14 21 1360042
23 31 841649
19 29 1694727
8 17 1591113
11 18 785997
13 14 1754247
3 12 1187572
13 22 1869567
17 27 1094406
20 22 1034237
10 17 414508
2 8 1911743
13 16 1800645
9 14 1510067
3 12 785841
14 18 939285
11 16 658618
27 32 410770
25 30 297207
13 15 649005
27 32 17457
5 11 1044965
4 5 1464971
1 5 460267
22 27 210840
5 15 883664
18 22 1736981
27 30 1484827
5 7 430369
9 16 811714
18 24 1908323
18 26 1080239
5 14 1169110
25 32 1869662
4 12 773010
7 16 665148
19 25 1300324
16 22 1866109
9 16 232070
15 16 1492611
26 32 681970
24 28 214655
12 18 2406
1 6 1845869
26 32 1255111
9 18 1015971
18 24 67735
9 10 1069020
7 11 430596
10 20 449669
3 12 1775244
13 21 424778
15 17 1443234
